Gene,Chr,Start,End
DDX11L1,1,11874,14409
WASH7P,1,14362,29370
MIR6859-1,1,17369,17436
MIR1302-2,1,30366,30503
FAM138A,1,34611,36081
OR4G4P,1,52453,53396
OR4G11P,1,63016,63885
OR4F5,1,65419,71585
SEPTIN14P18,1,126642,129225
CICP27,1,131068,134836
LOC729737,1,134773,140566
RNU6-1100P,1,157784,157887
GTF2IP10,1,164689,164792
RPL23AP21,1,228262,228787
LOC100132287,1,323892,328581
CICP7,1,328518,332282
SEPTIN14P13,1,334127,334504
OR4F29,1,367659,368597
WBP1LP7,1,379067,379573
RPL23AP24,1,470896,471368
LOC101928626,1,562760,564389
MTND1P23,1,564442,564820
MTND2P28,1,565020,566066
MTCO1P12,1,566454,567996
MIR12136,1,567995,568065
MTCO2P12,1,568137,568818
MTATP8P1,1,568915,569121
MTATP6P1,1,569076,569756
MTCO3P12,1,569756,570302
WBP1LP6,1,610123,610626
OR4F16,1,621096,622034
SEPTIN14P14,1,653001,655582
CICP3,1,657426,661202
LOC100288069,1,661139,714014
RNU6-1199P,1,693613,693716
FAM87B,1,752751,755214
LINC00115,1,761586,762902
LINC01128,1,762971,794826
FAM41C,1,803451,812182
TUBB8P11,1,808671,809894
LINC02593,1,852198,855072
LOC107985728,1,855623,860984
SAMD11,1,859303,879954
NOC2L,1,879583,894636
KLHL17,1,895964,901099
PLEKHN1,1,901862,911245
PERM1,1,910578,917473
HES4,1,934344,935477
RPL39P12,1,943440,943670
ISG15,1,948877,949920
AGRN,1,955500,991496
LOC100288175,1,995114,1001833
LOC105378948,1,1001015,1004717
RNF223,1,1006347,1009686
C1orf159,1,1017203,1051469
LINC01342,1,1072397,1079436
MIR200B,1,1102484,1102578
MIR200A,1,1103243,1103332
MIR429,1,1104385,1104467
TTLL10-AS1,1,1108436,1114935
TTLL10,1,1109260,1133316
TNFRSF18,1,1138888,1141972
TNFRSF4,1,1146720,1149533
SDF4,1,1152311,1167381
B3GALT6,1,1167617,1170421
C1QTNF12,1,1177833,1182102
UBE2J2,1,1189292,1209234
SCNN1D,1,1215816,1227405
ACAP3,1,1227771,1243310
MIR6726,1,1231490,1231550
SNORD167,1,1240109,1240192
PUSL1,1,1243977,1247057
INTS11,1,1246980,1260040
MIR6727,1,1247882,1247946
CPTP,1,1260182,1264276
TAS1R3,1,1266660,1270694
DVL1,1,1270658,1284798
MIR6808,1,1275030,1275088
MXRA8,1,1288069,1298921
AURKAIP1,1,1309116,1310587
NDUFB4P8,1,1314020,1314464
CCNL2,1,1321091,1334715
MRPL20-AS1,1,1334910,1337426
MRPL20,1,1337289,1342673
RN7SL657P,1,1340840,1341132
MRPL20-DT,1,1343728,1346064
ANKRD65,1,1353800,1356656
TMEM88B,1,1361251,1365635
LINC01770,1,1365537,1369953
VWA1,1,1371070,1378262
ATAD3C,1,1385069,1405543
ATAD3B,1,1407145,1433228
ATAD3A,1,1447542,1470065
TMEM240,1,1470158,1476004
SSU72,1,1477053,1510243
FNDC10,1,1533392,1535515
LOC105378586,1,1534813,1542590
MIB2,1,1550880,1565985
MMP23B,1,1567552,1570030
CDK11B,1,1570603,1590465
SLC35E2B,1,1592939,1624234
LOC100288379,1,1604722,1605874
MMP23A,1,1631378,1633247
CDK11A,1,1633818,1655796
SLC35E2A,1,1658824,1677509
LOC100129381,1,1667258,1668730
NADK,1,1682671,1711470
GNB1,1,1716725,1822526
GNB1-DT,1,1822619,1824165
CALML6,1,1846699,1848735
TMEM52,1,1849030,1850718
CFAP74,1,1853396,1935225
GABRD,1,1950784,1962197
PRKCZ-DT,1,1980640,1981509
PRKCZ,1,1981850,2116834
PRKCZ-AS1,1,2113233,2115314
FAAP20,1,2115916,2144159
LOC112268219,1,2121237,2123897
SKI,1,2159758,2241652
MORN1,1,2252692,2322993
LOC100129534,1,2281853,2284100
RER1,1,2323280,2336875
PEX10,1,2335413,2345266
PLCH2,1,2398890,2436971
PANK4,1,2439976,2458035
HES5,1,2460184,2461702
TNFRSF14-AS1,1,2481359,2488450
TNFRSF14,1,2487810,2495268
LOC100996583,1,2497974,2515973
PRXL2B,1,2517962,2522907
MMEL1,1,2522078,2564455
TTC34,1,2568425,2718258
ACTRT2,1,2938031,2939467
PRDM16-DT,1,2976181,2984289
PRDM16,1,2985767,3355185
LOC100420339,1,2986222,2987261
MIR4251,1,3044539,3044599
ARHGEF16,1,3371229,3397677
MEGF6,1,3404515,3528072
MIR551A,1,3477259,3477354
TPRG1L,1,3541579,3546691
WRAP73,1,3547334,3566667
TP73,1,3569080,3652765
TP73-AS1,1,3652548,3663937
CCDC27,1,3669014,3688209
SMIM1,1,3689313,3692520
LRRC47,1,3695123,3713062
RN7SL574P,1,3699379,3699675
CEP104,1,3728650,3773775
DFFB,1,3774040,3801993
C1orf174,1,3805697,3816836
LINC01134,1,3816968,3832011
LINC01346,1,4000672,4012643
LINC01345,1,4007209,4009040
EEF1DP6,1,4235523,4235959
LINC01777,1,4472111,4484744
LINC01646,1,4631547,4643766
AJAP1,1,4714669,4852594
MIR4689,1,5922732,5922801
NPHP4,1,5922871,6052485
KCNAB2,1,6052736,6161240
CHD5,1,6161847,6240381
RPL22,1,6245080,6259655
RNF207-AS1,1,6264900,6265840
RNF207,1,6266179,6281359
ICMT,1,6281253,6296024
ICMT-DT,1,6296300,6299504
HES3,1,6304239,6305638
GPR153,1,6307413,6321158
ACOT7,1,6324332,6453827
HES2,1,6475292,6479979
ESPN,1,6484836,6521004
MIR4252,1,6489894,6489956
TNFRSF25,1,6520846,6526233
PLEKHG5,1,6526152,6580152
NOL9,1,6581407,6614573
RNU6-731P,1,6600914,6601024
TAS1R1,1,6615367,6639815
ZBTB48,1,6640054,6649340
KLHL21,1,6650784,6662929
PHF13,1,6673791,6684090
THAP3,1,6684928,6695655
DNAJC11,1,6694230,6761876
LINC01672,1,6784805,6790072
CAMTA1-DT,1,6843952,6845040
CAMTA1,1,6845514,7829766
RPL37P9,1,6894342,6894697
RNU1-8P,1,7279420,7279584
CAMTA1-AS2,1,7442548,7449814
VAMP3,1,7831356,7841492
PER3,1,7844351,7905237
UTS2,1,7907672,7913551
TNFRSF9,1,7975931,8000899
TRUND-NNN4-1,1,7990339,7990408
PARK7,1,8021771,8045565
ERRFI1,1,8071787,8086369
RPL7AP18,1,8117241,8118547
