Gene,Chr,Start,End
LOC105378947,1,11134,37628
LOC124905685,1,20892,23710
LOC101928626,1,52979,54612
OR4F29,1,111940,112877
SEPTIN14P14,1,144134,146717
CICP3,1,148562,152332
LOC100288069,1,152269,205171
RNU6-1199P,1,184766,184869
LINC01409,1,205300,213723
FAM87B,1,246378,248841
LINC00115,1,255178,256494
LINC01128,1,256563,288416
LOC107984850,1,289156,297176
FAM41C,1,297045,306720
TUBB8P11,1,302266,303489
LOC124905686,1,334801,338527
LINC02593,1,346462,349336
LOC107985728,1,349887,355237
SAMD11,1,353566,373316
NOC2L,1,372945,388041
KLHL17,1,389374,394430
PLEKHN1,1,395193,404574
PERM1,1,403907,411933
HES4,1,429119,430252
RPL39P12,1,438192,438422
ISG15,1,443628,444671
AGRN,1,450247,486181
LOC100288175,1,489806,496468
LOC105378948,1,495650,499431
RNF223,1,501061,504400
C1orf159,1,510436,544704
LOC124903820,1,557299,590537
LINC01342,1,565633,572671
MIR200B,1,595701,595795
MIR200A,1,596460,596549
MIR429,1,597602,597684
TTLL10-AS1,1,601653,608152
TTLL10,1,602477,626317
TNFRSF18,1,631965,635049
TNFRSF4,1,639797,642610
SDF4,1,645388,660458
B3GALT6,1,660694,663498
C1QTNF12,1,670953,675655
UBE2J2,1,682910,702861
SCNN1D,1,709443,723551
ACAP3,1,723917,739479
MIR6726,1,727656,727716
SNORD167,1,736278,736361
PUSL1,1,740148,743228
INTS11,1,743151,756245
MIR6727,1,744058,744122
CPTP,1,756387,760481
TAS1R3,1,762865,766899
DVL1,1,766863,781044
MIR6808,1,771235,771293
MXRA8,1,783235,794097
AURKAIP1,1,804285,805756
NDUFB4P8,1,809187,809631
CCNL2,1,817645,831265
MRPL20-AS1,1,831460,833976
MRPL20,1,833839,839223
RN7SL657P,1,837390,837682
MRPL20-DT,1,840278,842614
ANKRD65,1,850350,853206
ANKRD65-AS1,1,852406,855217
TMEM88B,1,857800,864615
LINC01770,1,864517,868933
LOC107985729,1,867593,869909
VWA1,1,870050,877242
ATAD3C,1,884061,904534
ATAD3B,1,906136,932352
ATAD3A,1,946666,969189
TMEM240,1,969282,975128
SSU72,1,976177,1009369
FNDC10,1,1032518,1034641
LOC105378586,1,1033939,1041716
MIB2,1,1050005,1065110
MMP23B,1,1066677,1069155
CDK11B,1,1069728,1093466
SLC35E2B,1,1095940,1127231
LOC100288379,1,1107723,1108875
MMP23A,1,1134371,1136240
CDK11A,1,1136811,1158725
SLC35E2A,1,1161752,1180438
LOC100129381,1,1170200,1171667
LOC112268218,1,1180187,1186160
NADK,1,1185650,1214409
GNB1,1,1219664,1325475
GNB1-DT,1,1325568,1327117
CALML6,1,1349682,1351716
TMEM52,1,1352013,1353692
CFAP74,1,1356370,1439078
LOC107984872,1,1392442,1394104
LOC105378589,1,1448518,1453395
GABRD,1,1454897,1466310
LOC105378590,1,1471283,1482966
PRKCZ-DT,1,1484720,1485589
PRKCZ,1,1485930,1620370
PRKCZ-AS1,1,1616763,1618850
FAAP20,1,1619452,1648129
LOC112268219,1,1624774,1627434
SKI,1,1663728,1746139
LOC124905687,1,1700450,1721288
LOC124903824,1,1750926,1755200
MORN1,1,1757185,1830823
LOC100129534,1,1789671,1791919
RER1,1,1831110,1845026
PEX10,1,1843564,1853417
PLCH2,1,1908562,1946621
PANK4,1,1949626,1968240
HES5,1,1970389,1971907
TNFRSF14-AS1,1,1991564,1998655
TNFRSF14,1,1998015,2005473
LOC100996583,1,2008179,2026179
PRXL2B,1,2028168,2033113
MMEL1,1,2032284,2074662
MMEL1-AS1,1,2070214,2077864
TTC34,1,2078230,2301463
LOC107985732,1,2259987,2261052
LOC124905690,1,2263529,2264594
LOC124905688,1,2266129,2269976
LOC124905689,1,2269999,2270840
LOC105378598,1,2270847,2284476
LOC107984904,1,2271153,2272218
LOC124903826,1,2314156,2316577
ACTRT2,1,2523087,2524523
PRDM16-DT,1,2561659,2569767
PRDM16,1,2571244,2943423
LOC100420339,1,2571699,2572738
MIR4251,1,2630077,2630137
LOC105378606,1,2663428,2669270
LOC107984909,1,2690580,2698562
LOC105378605,1,2713782,2717032
LOC124903828,1,2771178,2801522
LOC105378604,1,2810884,2827788
ARHGEF16,1,2959431,2988135
MEGF6,1,2994964,3121629
LOC105378608,1,3056792,3058881
MIR551A,1,3069003,3069098
TPRG1L,1,3135110,3140200
WRAP73,1,3140843,3159976
TP73,1,3162389,3247802
TP73-AS3,1,3164657,3175230
TP73-AS1,1,3247585,3258974
CCDC27,1,3264051,3283241
SMIM1,1,3284345,3287549
LRRC47,1,3290152,3308095
RN7SL574P,1,3294408,3294704
CEP104,1,3323682,3368809
DFFB,1,3369074,3397333
C1orf174,1,3401037,3412176
LINC01134,1,3412308,3427355
LINC01346,1,3452532,3464503
LINC01345,1,3459070,3460901
EEF1DP6,1,3688453,3688889
LINC01777,1,3925590,3938190
LOC105376674,1,3945653,3957138
LOC124904578,1,4065731,4070290
LINC01646,1,4085214,4097433
AJAP1,1,4168333,4306459
LINC02781,1,4489149,4499716
LOC124904589,1,4508384,4514478
LOC102724429,1,4513131,4520111
LINC02782,1,4606442,4614412
LOC105376682,1,4648219,4651674
LOC107984911,1,4992725,5003715
LOC105376686,1,5013240,5017028
LOC124900451,1,5203414,5203488
LOC124903830,1,5226785,5236432
MIR4689,1,5386902,5386971
NPHP4,1,5387041,5518251
KCNAB2,1,5518502,5626866
CHD5,1,5627473,5705967
RPL22,1,5710666,5725241
RNF207-AS1,1,5730484,5731424
RNF207,1,5731763,5746943
ICMT,1,5746837,5761608
ICMT-DT,1,5761884,5765088
HES3,1,5769823,5771222
GPR153,1,5772997,5786742
ACOT7,1,5789916,5919409
HES2,1,5940873,5945560
ESPN,1,5950417,5986586
MIR4252,1,5955475,5955537
TNFRSF25,1,5986428,5991815
PLEKHG5,1,5991734,6045736
NOL9,1,6046991,6080171
RNU6-731P,1,6066489,6066599
TAS1R1,1,6080965,6105419
LOC107984912,1,6093218,6105097
ZBTB48,1,6105658,6114944
KLHL21,1,6116388,6128533
LOC107984913,1,6129111,6139034
PHF13,1,6139395,6149694
THAP3,1,6150532,6161259
DNAJC11,1,6159834,6227482
LINC01672,1,6250407,6255678
LOC124904847,1,6280263,6280361
CAMTA1-DT,1,6311732,6312820
CAMTA1,1,6313294,7300752
LOC124903832,1,6352895,6379819
RPL37P9,1,6361957,6362312
RNU1-8P,1,6748690,6748854
CAMTA1-AS2,1,6911871,6919140
CAMTA1-AS1,1,6969985,6970968
LOC105376691,1,7032466,7038054
LOC105376689,1,7216726,7235680
VAMP3,1,7302342,7312478
PER3,1,7315337,7376224
UTS2,1,7378659,7384534
TNFRSF9,1,7446742,7471701
TRUND-NNN4-1,1,7461138,7461207
PARK7,1,7492675,7516444
ERRFI1,1,7542658,7557236
ERRFI1-DT,1,7557388,7653533
RPL7AP18,1,7588256,7589558
LOC107984915,1,7660227,7678721
LOC100129776,1,7720868,7723815
RNU1-7P,1,7737475,7737638
LINC01714,1,7739713,7746251
LOC105376695,1,7770987,7780039
RNU6-991P,1,7823897,7824003
SLC45A1,1,7849807,7876669
RERE,1,7885246,8351098
RERE-AS1,1,7957512,7967885
SNORD128,1,8027672,8027785
LOC124900452,1,8045366,8045490
RPL7P11,1,8283864,8284545
RPL7P7,1,8319582,8320404
RPL27P3,1,8331895,8333014
RPL23AP19,1,8364572,8364891
ENO1,1,8394464,8412155
MIR6728,1,8399968,8400056
ENO1-AS1,1,8412304,8413354
RNU6-304P,1,8416896,8417002
HMGN2P17,1,8426875,8428067
LOC112268261,1,8438686,8460562
CA6,1,8479556,8508762
RN7SL451P,1,8513238,8513536
SLC2A7,1,8536635,8560063
SLC2A5,1,8568756,8606148
LOC124900441,1,8616738,8616921
GPR157,1,8634357,8663346
MIR34AHG,1,8682316,8716966
MIR34A,1,8685973,8686082
LNCTAM34A,1,8716832,8726719
H6PD,1,8769418,8805954
LOC124903836,1,8776607,8777289
SPSB1,1,8872968,8904391
LINC02606,1,8961393,8965305
RNA5SP40,1,8973978,8974087
SLC25A33,1,9075801,9121512
RPL9P11,1,9112744,9113420
TMEM201,1,9125255,9151173
LOC105376712,1,9171229,9172209
PIK3CD,1,9194503,9271897
PIK3CD-AS1,1,9195382,9197358
RPL26P7,1,9205060,9205400
PIK3CD-AS2,1,9215200,9230348
CLSTN1,1,9271709,9367444
MZT1P1,1,9323608,9324226
CTNNBIP1,1,9391187,9453193
LOC105376717,1,9393684,9398403
LOC124903838,1,9422873,9426623
LZIC,1,9465032,9486296
NMNAT1,1,9485828,9528561
RN7SKP269,1,9490223,9490467
TMEM274P,1,9493482,9503695
MIR5697,1,9510289,9510366
LOC124903840,1,9539767,9541137
RBP7,1,9540276,9559075
UBE4B,1,9576012,9724288
RPL21P21,1,9597466,9597835
PGAM1P11,1,9601727,9602708
RNU6-828P,1,9706315,9706421
KIF1B,1,9754179,9925204
RNU6-37P,1,9842559,9842664
RN7SL731P,1,9850059,9850351
PGD,1,9942673,9964125
CENPS-CORT,1,9974048,9995769
CENPS,1,9974048,9986421
CORT,1,9993648,9995614
DFFA,1,10000139,10016137
PEX14,1,10018558,10174355
RN7SL614P,1,10160433,10160712
CASZ1,1,10180201,10340363
LOC105376733,1,10352734,10359374
HSPE1P24,1,10439666,10439903
LOC105376735,1,10456810,10462631
C1orf127,1,10485796,10523301
CFL1P6,1,10531054,10533073
TARDBP,1,10553914,10566770
MASP2,1,10567802,10588801
SRM,1,10596153,10601582
EXOSC10,1,10608183,10641440
EXOSC10-AS1,1,10641246,10643676
MTOR,1,10648106,10804142
MTOR-AS1,1,10685476,10691116
RNU6-537P,1,10693928,10693991
LOC124904848,1,10711094,10711200
ANGPTL7,1,10730945,10737571
RNU6-291P,1,10767845,10767951
RPL39P6,1,10774502,10774905
UBIAD1,1,10814791,10841185
UBE2V2P3,1,10820008,10820869
LOC105376737,1,10853523,10857950
LOC105376739,1,10899588,10906694
LOC105376740,1,10913329,10920422
MTCYBP45,1,10968221,10968773
DISP3,1,11022097,11081879
LINC01647,1,11153854,11157677
FBXO2,1,11192423,11198481
FBXO44,1,11198459,11207382
FBXO6,1,11208255,11218422
MAD2L2,1,11218548,11235614
DRAXIN,1,11235765,11269932
AGTRAP,1,11280231,11294863
LOC101060126,1,11305465,11306407
C1orf167,1,11306279,11333667
C1orf167-AS1,1,11321161,11323701
MTHFR,1,11329802,11350048
CLCN6,1,11350275,11387211
NPPA-AS1,1,11384400,11391701
NPPA,1,11389795,11391868
